student,guess1,guess2,actual,year
S-2022-01,57,62,55.5,2022
S-2022-02,53,53,55.5,2022
S-2022-03,50,50,55.5,2022
S-2022-04,48,56,55.5,2022
S-2022-05,61,,55.5,2022
S-2022-06,63,63,55.5,2022
S-2022-07,67,58,55.5,2022
S-2022-08,50,57,55.5,2022
S-2022-09,50,50,55.5,2022
S-2022-10,43,56,55.5,2022
S-2022-11,58,62,55.5,2022
S-2022-12,49,57,55.5,2022
S-2022-13,51,53,55.5,2022
S-2022-14,48,45,55.5,2022
S-2022-15,50,54,55.5,2022
S-2022-16,50,47,55.5,2022
S-2022-17,55,54,55.5,2022
S-2022-18,45,50,55.5,2022
S-2022-19,53,53,55.5,2022
S-2022-20,53,,55.5,2022
S-2022-21,56,58,55.5,2022
S-2022-22,50,50,55.5,2022
S-2022-23,44,48,55.5,2022
S-2022-24,55,55,55.5,2022
S-2022-25,40,56,55.5,2022
S-2022-26,40,40,55.5,2022
S-2022-27,58,46,55.5,2022
S-2022-28,46,46,55.5,2022
S-2022-29,55,58,55.5,2022
S-2022-30,54,54,55.5,2022
S-2022-31,45,45,55.5,2022
S-2022-32,49,55,55.5,2022
S-2022-33,48,51,55.5,2022
S-2022-34,58,58,55.5,2022
S-2022-35,58,57,55.5,2022
S-2022-36,56,56,55.5,2022
S-2022-37,58,58,55.5,2022
S-2022-38,64,60,55.5,2022
S-2022-39,56,56,55.5,2022
S-2022-40,48,53,55.5,2022
S-2022-41,58,57,55.5,2022
S-2022-42,50,55,55.5,2022
S-2022-43,55,55,55.5,2022
S-2022-44,55,56,55.5,2022
S-2022-45,54,56,55.5,2022
S-2022-46,58,53,55.5,2022
S-2022-47,45,47,55.5,2022
S-2022-48,59,56,55.5,2022
S-2022-49,63,63,55.5,2022
S-2022-50,45,50,55.5,2022
S-2022-51,59,61,55.5,2022
S-2022-52,56,,55.5,2022
S-2022-53,45,45,55.5,2022
S-2023-01,42,48,56.5,2023
S-2023-02,60,55,56.5,2023
S-2023-03,52,53,56.5,2023
S-2023-04,54,56,56.5,2023
S-2023-05,42,50,56.5,2023
S-2023-06,52,54,56.5,2023
S-2023-07,64,59,56.5,2023
S-2023-08,52,62,56.5,2023
S-2023-09,53,53,56.5,2023
S-2023-10,58,54,56.5,2023
S-2023-11,55,50,56.5,2023
S-2023-12,56,58,56.5,2023
S-2023-13,58,55,56.5,2023
S-2023-14,55,55,56.5,2023
S-2023-15,55,51,56.5,2023
S-2023-16,55,58,56.5,2023
S-2023-17,65,70,56.5,2023
S-2023-18,72,67,56.5,2023
S-2023-19,48,52,56.5,2023
S-2023-20,57,58,56.5,2023
S-2023-21,63,62,56.5,2023
S-2023-22,57,63,56.5,2023
S-2023-23,55,60,56.5,2023
S-2023-24,56,52,56.5,2023
S-2023-25,50,57,56.5,2023
S-2023-26,48,59,56.5,2023
S-2023-27,52,60,56.5,2023
S-2023-28,56,62,56.5,2023
S-2023-29,56,57,56.5,2023
S-2023-30,52,55,56.5,2023
S-2023-31,66,67,56.5,2023
S-2023-32,55,56,56.5,2023
S-2023-33,49,52,56.5,2023
S-2023-34,50,50,56.5,2023
S-2023-35,50,48,56.5,2023
S-2023-36,58,56,56.5,2023
S-2023-37,58,62,56.5,2023
S-2023-38,60,60,56.5,2023
S-2023-39,48,56,56.5,2023
S-2024-01,45,53,57.5,2024
S-2024-02,50,55,57.5,2024
S-2024-03,65,62,57.5,2024
S-2024-04,55,60,57.5,2024
S-2024-05,65,67,57.5,2024
S-2024-06,58,56,57.5,2024
S-2024-07,58,56,57.5,2024
S-2024-08,60,55,57.5,2024
S-2024-09,56,53,57.5,2024
S-2024-10,62,58,57.5,2024
S-2024-11,60,65,57.5,2024
S-2024-12,62,62,57.5,2024
S-2024-13,48,58,57.5,2024
S-2024-14,55,57,57.5,2024
S-2024-15,64,60,57.5,2024
S-2024-16,62,59,57.5,2024
S-2024-17,50,67,57.5,2024
S-2024-18,58,62,57.5,2024
S-2024-19,59,56,57.5,2024
S-2024-20,53,53,57.5,2024
S-2024-21,60,60,57.5,2024
S-2024-22,47,51,57.5,2024
S-2024-23,50,50,57.5,2024
S-2024-24,56,56,57.5,2024
S-2024-25,56,57,57.5,2024
S-2024-26,58,63,57.5,2024
S-2024-27,66,58,57.5,2024
S-2024-28,67,67,57.5,2024
S-2024-29,52,53,57.5,2024
S-2024-30,59,56,57.5,2024
S-2024-31,63,63,57.5,2024
S-2024-32,51,51,57.5,2024
S-2024-33,50,47,57.5,2024
S-2024-34,59,59,57.5,2024
S-2024-35,57,59,57.5,2024
S-2024-36,55,55,57.5,2024
S-2024-37,56,57,57.5,2024
S-2024-38,47,52,57.5,2024
S-2024-39,58,59,57.5,2024
S-2024-40,53,57,57.5,2024
S-2024-41,57,63,57.5,2024
S-2024-42,46,50,57.5,2024
S-2024-43,57,57,57.5,2024
S-2024-44,56,54,57.5,2024
S-2024-45,55,55,57.5,2024
S-2024-46,59,61,57.5,2024
S-2024-47,58,61,57.5,2024
S-2024-48,52,56,57.5,2024
S-2024-49,60,60,57.5,2024
S-2024-50,55,61,57.5,2024
S-2024-51,59,59,57.5,2024
S-2024-52,44,48,57.5,2024
S-2024-53,53,58,57.5,2024
S-2024-54,59,62,57.5,2024
S-2024-55,61,60,57.5,2024
S-2024-56,54,57,57.5,2024
