student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,sex,ageguess,year,lovetrueage,lovetrueht
202301,y,NA,2,152,1,0,10,1,7,0,3,3,61,19.5,sky blue,5,NA,NA,NA,2023,56.5,189
202302,n,y,NA,152,1,10,0,-1,7,10,3,3,63,19,black,6,NA,NA,NA,2023,56.5,189
202303,y,y,4,178,1,0,20,1,6,45,2,2,61,20,purple,8.5,104,NA,NA,2023,56.5,189
202304,n,y,2,183,1,0,20,1,5,200,3,4,64,19,blue,6,92,NA,NA,2023,56.5,189
202305,y,y,2,178,1,0,10,1,6,40,2,2,62,18.5,purple,9,88,NA,NA,2023,56.5,189
202306,y,y,6,178,1,5,8,0.23,7,35,3,3,73,26,blue,6,54,NA,NA,2023,56.5,189
202307,y,y,5,185,1,4,15,0.58,7,70,4,4,74,25.5,purple,6,72,NA,NA,2023,56.5,189
202308,n,y,5,185,3,5,15,0.5,7,65,3,4,66,21,purple,7,76,NA,NA,2023,56.5,189
202309,n,y,4,188,1,0,10,1,6,40,4,3,71,15,blue,6,78,NA,NA,2023,56.5,189
202310,n,n,3,185,1,2,9,0.64,5,0,2,2,60,17.5,yellow,8,68,NA,NA,2023,56.5,189
202311,n,n,2,180,1,0,10,1,7,12,5,5,67,20,blue,9.5,68,NA,NA,2023,56.5,189
202312,n,n,7,185,1,2,9,0.64,5,0,2,2,60,17.5,yellow,8,68,NA,NA,2023,56.5,189
202313,n,y,5,193,1,10,0,-1,7,60,4,4,65,18,purple,5.5,88,NA,NA,2023,56.5,189
202314,y,y,5,188,1,0,10,1,6,80,4,4,65,18,green,6,60,NA,NA,2023,56.5,189
202315,y,y,5,178,1,0,18,1,7,75,4,4,67,22,blue,5,76,NA,NA,2023,56.5,189
202316,y,y,5,188,2,12,4,-0.5,6,30,3,3,65,18,green,8,75,NA,NA,2023,56.5,189
202317,n,y,3,178,1,0,10,1,5,15,3,4,64,21,blue,8,84,NA,NA,2023,56.5,189
202318,n,n,3,178,1,7,4,-0.27,6,0,3,4,70,23,black,8,80,NA,NA,2023,56.5,189
202319,n,n,3,185,1,1,14,0.87,6,0,4,3,63,21,blue,7.5,108,NA,NA,2023,56.5,189
202320,y,n,5,185,1,5,15,0.5,7,26,4,3,65,20,blue,8,68,NA,NA,2023,56.5,189
202321,y,y,3,183,1,2,16,0.78,7,100,4,3,61,16,purple,8,72,NA,NA,2023,56.5,189
202322,n,y,3,180,1,2,17,0.79,6,65,3,3,61.5,15,blue,7,85,NA,NA,2023,56.5,189
202323,y,n,5,177,1,0,10,1,7,20,3,3,65,21,white,7,80,NA,NA,2023,56.5,189
202324,y,y,7,190,1,0,20,1,7,0,5,5,66,23,red,6,76,NA,NA,2023,56.5,189
202325,y,y,4,188,1,0,20,1,7,32,4,5,70,20,red,8,70,NA,NA,2023,56.5,189
202326,y,n,4,175,2,1,9,0.8,7,20,3,2,68,20,blue,5,80,NA,NA,2023,56.5,189
202327,n,y,4,168,1,2,18,0.8,7,48,3,4,64,19.5,blue,7,112,NA,NA,2023,56.5,189
202328,n,y,4,178,1,9,3,-0.5,6,0,1,3,73,23,blue,8,80,NA,NA,2023,56.5,189
202329,n,y,5,180,1,2,18,0.8,7,30,2,4,73,21,blue,7,68,NA,NA,2023,56.5,189
202330,n,y,4,173,1,7,9,0.13,5,0,4,3,64,21.5,teal,6,76,NA,NA,2023,56.5,189
202331,y,y,7,188,1,0,10,1,4,180,3,4,66,20.5,blue,4,88,NA,NA,2023,56.5,189
202332,y,y,6,188,1,0,10,1,7,35,4,2,71,22.5,yellow,6,86,NA,NA,2023,56.5,189
202333,y,n,7,185,1,12,4,-0.5,5,20,3,3,61,20,green,6,86,NA,NA,2023,56.5,189
202334,y,n,5,183,1,2,11,0.69,5,5,4,3,70,22,blue,7,80,NA,NA,2023,56.5,189
202335,n,y,3,185,1,6,9,0.2,6,0,2,2,66,21.5,royal blue,5,84,NA,NA,2023,56.5,189
202336,y,y,2,188,1,5,12,0.41,5,35,3,2,63,13.8,light blue,9,68,NA,NA,2023,56.5,189
202337,n,y,3,180,1,2,16,0.78,7,45,2,3,69,19,blue,8,104,NA,NA,2023,56.5,189
202338,y,y,3,180,1,2,16,0.78,6,0,3,2,65,20.5,green,6,72,NA,NA,2023,56.5,189
202339,n,n,6,178,1,17,10,-0.26,7,150,3,3,64,19.5,purple,9,88,NA,NA,2023,56.5,189
202340,n,n,6,185,1,19,10,-0.31,7,14,3,3,61,19.3,purple,7,80,NA,NA,2023,56.5,189
202341,y,y,5,183,1,6,13,0.37,6,0,3,4,65,20.5,blue,8,72,NA,NA,2023,56.5,189
202342,y,y,4,180,1,4,14,0.56,5,7.5,3,3,64,20,white,7,68,NA,NA,2023,56.5,189
202343,y,y,5,185,1,2,15,0.76,7,0,2,5,65,21,blue,7.25,72,NA,NA,2023,56.5,189
202344,y,y,7,191,1,3,14,0.65,7,20,4,2,70,20,gray,9.5,100,NA,NA,2023,56.5,189
202345,y,y,5,183,1,5,14,0.47,7,57,1,2,64,18.5,red,7.13,80,NA,NA,2023,56.5,189
202346,y,y,5,180,1,4,14,0.56,7,22,3,2,69,20,blue,6,88,NA,NA,2023,56.5,189
202347,y,n,5,175,1,1,17,0.89,6,50,4,4,67,18,red,5,72,NA,NA,2023,56.5,189
202348,n,NA,4,191,1,10,0,-1,6,30,1,5,68,20,red,8,80,NA,NA,2023,56.5,189
202349,n,y,5,193,1,10,0,-1,6,30,4,5,77,22,aquamarine,5,60,NA,NA,2023,56.5,189
