order,Guessers,Source,People,Chong,Archuleta,Mayfield,Love,McGinn,Chaney,Storm,Glantz,Honey,Lawson,Err_Chong,Err_Archuleta,Err_Mayfield,Err_Love,Err_McGinn,Err_Chaney,Err_Storm,Err_Glantz,Err_Honey,Err_Lawson,AbsErr_Chong,AbsErr_Archuleta,AbsErr_Mayfield,AbsErr_Love,AbsErr_McGinn,AbsErr_Chaney,AbsErr_Storm,AbsErr_Glantz,AbsErr_Honey,AbsErr_Lawson,Sqr_E_Chong,Sqr_E_Archuleta,Sqr_E_Mayfield,Sqr_E_Love,Sqr_E_McGinn,Sqr_E_Chaney,Sqr_E_Storm,Sqr_E_Glantz,Sqr_E_Honey,Sqr_E_Lawson,BeatAI_Chong,BeatAI_Archuleta,BeatAI_Mayfield,BeatAI_Love,BeatAI_McGinn,BeatAI_Chaney,BeatAI_Storm,BeatAI_Glantz,BeatAI_Honey,BeatAI_Lawson,Correct,Within 2,Within 5,Too Low,Too High,Beat AI,Mean Error,SD Errors,Median Error,Min Error,Max Error,Mean AE,Min AE,Max AE,Median AE,RMSE,,
1,The Confident Interval,Students,4,32,56,31,15,68,77,52,85,40,34,11,-8,3,1,14,3,8,2,16,0,11,8,3,1,14,3,8,2,16,0,121,64,9,1,196,9,64,4,256,0,0,1,0,1,0,1,1,1,0,1,1,3,5,1,8,6,5,7.3,3,-8,16,6.6,0,16,5.5,8.5,,"The Confident Interval|6.6|0,16|5.5|8.5"
2,MAWC,Students,4,25,53,28,16,68,72,47,80,32,29,4,-11,0,2,14,-2,3,-3,8,-5,4,11,0,2,14,2,3,3,8,5,16,121,0,4,196,4,9,9,64,25,0,1,1,1,0,1,1,1,0,1,1,3,7,4,5,7,1,7.0,1,-11,14,5.2,0,14,3.5,6.7,,"MAWC|5.2|0,14|3.5|6.7"
3,The Renaissance Coders,Students,4,25,55,32,14,60,78,49,87,37,29,4,-9,4,0,6,4,5,4,13,-5,4,9,4,0,6,4,5,4,13,5,16,81,16,0,36,16,25,16,169,25,0,1,0,1,0,1,1,1,0,1,1,1,7,2,7,6,2.6,6.1,4,-9,13,5.4,0,13,4.5,6.3,,"The Renaissance Coders|5.4|0,13|4.5|6.3"
4,R-rational,Students,4,27,62,35,14,51,68,48,80,34,29,6,-2,7,0,-3,-6,4,-3,10,-5,6,2,7,0,3,6,4,3,10,5,36,4,49,0,9,36,16,9,100,25,0,1,0,1,1,1,1,1,0,1,1,2,6,5,4,7,0.8,5.6,-1,-6,10,4.6,0,10,4.5,5.3,,"R-rational|4.6|0,10|4.5|5.3"
5,TVMB,Students,4,22,62,32,14,61,75,48,84,27,35,1,-2,4,0,7,1,4,1,3,1,1,2,4,0,7,1,4,1,3,1,1,4,16,0,49,1,16,1,9,1,0,1,0,1,0,1,1,1,1,1,1,6,9,1,8,7,2,2.5,1,-2,7,2.4,0,7,1.5,3.1,,"TVMB|2.4|0,7|1.5|3.1"
6,Something Creative and Original,Students,4,28,59,32,14,62,69,43,75,30,26,7,-5,4,0,8,-5,-1,-8,6,-8,7,5,4,0,8,5,1,8,6,8,49,25,16,0,64,25,1,64,36,64,0,1,0,1,0,1,1,1,0,0,1,2,5,5,4,5,-0.2,6.2,-0.5,-8,8,5.2,0,8,5.5,5.9,,"Something Creative and Original|5.2|0,8|5.5|5.9"
7,Baked Split,Students,5,24,63,32,15,67,73,47,84,38,31,3,-1,4,1,13,-1,3,1,14,-3,3,1,4,1,13,1,3,1,14,3,9,1,16,1,169,1,9,1,196,9,0,1,0,1,0,1,1,1,0,1,0,4,8,3,7,6,3.4,5.7,2,-3,14,4.4,1,14,3,6.4,,"Baked Split|4.4|1,14|3|6.4"
8,Pineapple Pizza,Students,5,23,58,32,12,70,73,46,80,27,29,2,-6,4,-2,16,-1,2,-3,3,-5,2,6,4,2,16,1,2,3,3,5,4,36,16,4,256,1,4,9,9,25,0,1,0,1,0,1,1,1,1,1,0,4,8,5,5,7,1,6.3,0.5,-6,16,4.4,1,16,3,6,,"Pineapple Pizza|4.4|1,16|3|6"
9,cwru crew,Students,4,22,53,27,15,56,68,50,70,33,26,1,-11,-1,1,2,-6,6,-13,9,-8,1,11,1,1,2,6,6,13,9,8,1,121,1,1,4,36,36,169,81,64,0,1,0,1,1,1,1,1,0,0,0,4,4,5,5,6,-2,7.3,0,-13,9,5.8,1,13,6,7.2,,"cwru crew|5.8|1,13|6|7.2"
10,Statasaurous rex,Students,5,26,54,33,17,62,72,46,78,30,40,5,-10,5,3,8,-2,2,-5,6,6,5,10,5,3,8,2,2,5,6,6,25,100,25,9,64,4,4,25,36,36,0,1,0,1,0,1,1,1,0,0,0,2,6,3,7,5,1.8,5.7,4,-10,8,5.2,2,10,5,5.7,,"Statasaurous rex|5.2|2,10|5|5.7"
