student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,year,lovetrueage,lovetrueht,sex,ageguess
202401,n,y,5,175,1,16,1,-0.88,7,50,3,3,63,15,purple,8.5,75,2024,57.5,188,NA,NA
202402,y,y,3,180,1,3,10,0.54,7,30,5,3,69,20.5,blue,10,74,2024,57.5,188,NA,NA
202403,y,y,2,183,1,0,10,1,7,80,3,2,66,20.5,green,5,90,2024,57.5,188,NA,NA
202404,y,n,7,188,1,8,10,0.11,7,10,2,5,68.5,20,yellow,5,70,2024,57.5,188,NA,NA
202405,n,y,5,183,1,1,15,0.88,7,45,2,3,62,14.5,yellow,8,80,2024,57.5,188,NA,NA
202406,y,y,3,185,1,1,14,0.87,6,45,3,5,64,18,green,8,99,2024,57.5,188,NA,NA
202407,n,y,4,183,1,2,15,0.76,5,130,3,5,76,22,green,7,70,2024,57.5,188,NA,NA
202408,n,y,7,188,1,6,14,0.4,7,60,3,5,72,21.5,yellow,6,72,2024,57.5,188,NA,NA
202409,y,n,7,188,1,8,10,0.11,7,40,3,5,67,22,green,6,64,2024,57.5,188,NA,NA
202410,n,y,5,191,1,1,12,0.85,6,37,2,3,60,18.5,burgundy,5.5,76,2024,57.5,188,NA,NA
202411,y,y,6,178,1,15,10,-0.2,7,12,2,2,67,19,baby pink,5.5,80,2024,57.5,188,NA,NA
202412,n,y,3,180,1,16,10,-0.23,5,40,3,3,66,19,blue,5,92,2024,57.5,188,NA,NA
202413,n,y,5,180,1,1,18,0.89,7,176,3,4,66,19.5,maroon,3,88,2024,57.5,188,NA,NA
202414,y,y,6,188,1,1,15,0.88,7,10,3,4,66,21.5,blue,7,80,2024,57.5,188,NA,NA
202415,y,y,3,182,1,14,10,-0.17,6,50,2,2,66.5,20.5,black,8,88,2024,57.5,188,NA,NA
202416,n,y,5,157,1,19,10,-0.31,6,40,5,5,66,23,blue,6,64,2024,57.5,188,NA,NA
202417,y,y,5,164,1,3,17,0.7,6,0,3,4,63.25,13.5,turquoise,7,92,2024,57.5,188,NA,NA
202418,y,n,6,178,1,1,19,0.9,3,0,2,5,72,22,green,8.5,56,2024,57.5,188,NA,NA
202419,y,n,4,180,1,2,18,0.8,7,5,4,3,65,22,purple,8,60,2024,57.5,188,NA,NA
202420,n,y,5,180,1,5,10,0.33,5,0,4,4,62,20,purple,7,64,2024,57.5,188,NA,NA
202421,n,y,6,188,1,4,13,0.53,7,30,3,2,69,19,green,6,52,2024,57.5,188,NA,NA
202422,n,y,5,183,1,14,6,-0.4,6,35,2,3,70,22,green,5.5,52,2024,57.5,188,NA,NA
202423,y,y,5,190,1,0,10,1,6,40,4,1,69,23,green,5,60,2024,57.5,188,NA,NA
202424,n,y,5,174,1,0,10,1,6,10,3,1,69,23,purple,7,64,2024,57.5,188,NA,NA
202425,n,n,55,183,1,0,20,1,5,25,1,3,70,22,blue,6,60,2024,57.5,188,NA,NA
202426,y,y,7,185,1,0,20,1,7,75,3,4,67,18,hunter green,7,100,2024,57.5,188,NA,NA
202427,y,y,5,185,1,1,19,0.9,6,20,2,3,68,23.5,blue,10,85,2024,57.5,188,NA,NA
202428,n,y,5,183,1,2,15,0.76,6,40,4,4,62,23.5,green,7,80,2024,57.5,188,NA,NA
202429,n,y,6,185,1,7,10,0.18,5,23,5,5,69,21.5,green,4,76,2024,57.5,188,NA,NA
202430,n,y,5,178,1,0,10,1,6,25,2,4,64,17.5,green,7,72,2024,57.5,188,NA,NA
202431,y,y,5,183,1,0,10,1,6,40,2,3,64,19,pink,8,72,2024,57.5,188,NA,NA
202432,y,n,5,196,1,0,10,1,6,4,2,4,68,21,blue,9,72,2024,57.5,188,NA,NA
202433,y,y,3,173,1,0,20,1,5,40,3,3,64,21.5,red,7,60,2024,57.5,188,NA,NA
202434,n,y,3,178,1,4,15,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,57.5,188,NA,NA
202435,n,n,1,178,1,4,17,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,57.5,188,NA,NA
202436,NA,NA,3,178,1,2,18,0.8,5,10,3,2,65,22,pink-orange,8,64,2024,57.5,188,NA,NA
202437,NA,NA,5,178,1,5,10,0.33,7,65,3,3,63,19.5,green,8,80,2024,57.5,188,NA,NA
202438,y,n,5,170,1,0,20,1,7,0,4,3,64,19,blue,6,68,2024,57.5,188,NA,NA
202439,y,y,5,188,2,2,18,0.8,7,30,2,3,73,22,blue,5,76,2024,57.5,188,NA,NA
202440,n,y,6,183,1,0,10,1,6,45,2,3,70,20,green,6,68,2024,57.5,188,NA,NA
202441,y,y,3,170,1,0,20,1,4,20,4,4,74,19,blue,7,60,2024,57.5,188,NA,NA
202442,n,y,5,185,1,6,12,0.33,5,35,2,5,70,23,blue,4,68,2024,57.5,188,NA,NA
202443,y,y,5,178,1,14,3,-0.65,6,30,3,3,74,24,blue,7,76,2024,57.5,188,NA,NA
202444,y,y,6,185,2,15,5,-0.5,7,NA,3,3,64,20.5,blue,5,84,2024,57.5,188,NA,NA
202445,y,y,5,185,1,1,9,0.8,7,35,4,3,73,23,green,3,60,2024,57.5,188,NA,NA
202446,y,y,4,185,1,0,10,1,7,0,4,3,70,20,blue,6,68,2024,57.5,188,NA,NA
202447,y,y,5,183,1,2,18,0.8,7,20,4,5,66,19,green,8.5,84,2024,57.5,188,NA,NA
202448,y,y,3,183,1,3,17,0.7,7,30,4,3,67,16.5,yellow,9,72,2024,57.5,188,NA,NA
202449,y,y,6,178,1,3,17,0.7,7,0,3,4,61,20,green,5.5,89,2024,57.5,188,NA,NA
202450,n,y,6,178,1,2,18,0.8,7,40,3,2,65,20,green,7.5,76,2024,57.5,188,NA,NA
202451,n,y,6,180,1,3,10,0.54,7,47,2,3,70,21.4,yellow,6.75,76,2024,57.5,188,NA,NA
202452,n,y,5,180,1,4,13,0.53,7,55,2,3,63,19,blue,6,80,2024,57.5,188,NA,NA
202453,n,y,5,183,1,5,10,0.33,6,30,4,3,68,22.8,baby pink,7,48,2024,57.5,188,NA,NA
202454,y,y,5,178,1,2,9,0.64,7,200,2,3,65,21,purple,8,48,2024,57.5,188,NA,NA
